#,customer_id,id,order_id,product_id,quantity
1,90,1,10248,11,12
2,90,2,10248,42,10
3,90,3,10248,72,5
4,81,4,10249,14,9
5,81,5,10249,51,40
6,34,6,10250,41,10
7,34,7,10250,51,35
8,34,8,10250,65,15
9,84,9,10251,22,6
10,84,10,10251,57,15
11,84,11,10251,65,20
12,76,12,10252,20,40
13,76,13,10252,33,25
14,76,14,10252,60,40
15,34,15,10253,31,20
16,34,16,10253,39,42
17,34,17,10253,49,40
18,14,18,10254,24,15
19,14,19,10254,55,21
20,14,20,10254,74,21
21,68,21,10255,2,20
22,68,22,10255,16,35
23,68,23,10255,36,25
24,68,24,10255,59,30
25,88,25,10256,53,15
26,88,26,10256,77,12
27,35,27,10257,27,25
28,35,28,10257,39,6
29,35,29,10257,77,15
30,20,30,10258,2,50
31,20,31,10258,5,65
32,20,32,10258,32,6
33,13,33,10259,21,10
34,13,34,10259,37,1
35,55,35,10260,41,16
36,55,36,10260,57,50
37,55,37,10260,62,15
38,55,38,10260,70,21
39,61,39,10261,21,20
40,61,40,10261,35,20
41,65,41,10262,5,12
42,65,42,10262,7,15
43,65,43,10262,56,2
44,20,44,10263,16,60
45,20,45,10263,24,28
46,20,46,10263,30,60
47,20,47,10263,74,36
48,24,48,10264,2,35
49,24,49,10264,41,25
50,7,50,10265,17,30
51,7,51,10265,70,20
52,87,52,10266,12,12
53,25,53,10267,40,50
54,25,54,10267,59,70
55,25,55,10267,76,15
56,33,56,10268,29,10
57,33,57,10268,72,4
58,89,58,10269,33,60
59,89,59,10269,72,20
60,87,60,10270,36,30
61,87,61,10270,43,25
62,75,62,10271,33,24
63,65,63,10272,20,6
64,65,64,10272,31,40
65,65,65,10272,72,24
66,63,66,10273,10,24
67,63,67,10273,31,15
68,63,68,10273,33,20
69,63,69,10273,40,60
70,63,70,10273,76,33
71,85,71,10274,71,20
72,85,72,10274,72,7
73,49,73,10275,24,12
74,49,74,10275,59,6
75,80,75,10276,10,15
76,80,76,10276,13,10
77,52,77,10277,28,20
78,52,78,10277,62,12
79,5,79,10278,44,16
80,5,80,10278,59,15
81,5,81,10278,63,8
82,5,82,10278,73,25
83,44,83,10279,17,15
84,5,84,10280,24,12
85,5,85,10280,55,20
86,5,86,10280,75,30
87,69,87,10281,19,1
88,69,88,10281,24,6
89,69,89,10281,35,4
90,69,90,10282,30,6
91,69,91,10282,57,2
92,46,92,10283,15,20
93,46,93,10283,19,18
94,46,94,10283,60,35
95,46,95,10283,72,3
96,44,96,10284,27,15
97,44,97,10284,44,21
98,44,98,10284,60,20
99,44,99,10284,67,5
100,63,100,10285,1,45
101,63,101,10285,40,40
102,63,102,10285,53,36
103,63,103,10286,35,100
104,63,104,10286,62,40
105,67,105,10287,16,40
106,67,106,10287,34,20
107,67,107,10287,46,15
108,66,108,10288,54,10
109,66,109,10288,68,3
110,11,110,10289,3,30
111,11,111,10289,64,9
112,15,112,10290,5,20
113,15,113,10290,29,15
